Date,Price,Count,,
닳아버린 순례의 증표,2026-05-30 13:25:05,271169,2,2026-05-30 13:26:10
닳아버린 순례의 증표,2026-05-30 13:25:02,270000,20,2026-05-30 13:26:10
닳아버린 순례의 증표,2026-05-30 13:25:02,270000,8,2026-05-30 13:26:10
광휘의 소울 결정,2026-05-30 13:25:08,120000,10,2026-05-30 13:26:10
광휘의 소울 결정,2026-05-30 13:19:40,133000,5,2026-05-30 13:26:10
광휘의 소울 결정,2026-05-30 13:19:30,130000,1,2026-05-30 13:26:10
광휘의 소울 결정,2026-05-30 13:19:27,125000,2,2026-05-30 13:26:10
광휘의 소울 결정,2026-05-30 13:16:16,135000,1,2026-05-30 13:26:10
광휘의 소울 결정,2026-05-30 13:16:14,130000,2,2026-05-30 13:26:10
광휘의 소울 결정,2026-05-30 13:16:11,130000,2,2026-05-30 13:26:10
광휘의 소울 결정,2026-05-30 13:16:09,130000,2,2026-05-30 13:26:10
광휘의 소울 결정,2026-05-30 13:16:02,125500,2,2026-05-30 13:26:10
광휘의 소울 결정,2026-05-30 13:13:50,140999,10,2026-05-30 13:26:10
에픽 소울 결정,2026-05-30 13:22:58,999666,6,2026-05-30 13:26:11
에픽 소울 결정,2026-05-30 13:22:27,999666,12,2026-05-30 13:26:11
에픽 소울 결정,2026-05-30 13:22:26,999666,1,2026-05-30 13:26:11
에픽 소울 결정,2026-05-30 13:22:23,999600,1,2026-05-30 13:26:11
에픽 소울 결정,2026-05-30 13:22:13,979000,1,2026-05-30 13:26:11
에픽 소울 결정,2026-05-30 13:22:02,975000,1,2026-05-30 13:26:11
에픽 소울 결정,2026-05-30 13:21:49,990000,1,2026-05-30 13:26:11
에픽 소울 결정,2026-05-30 13:21:46,979999,1,2026-05-30 13:26:11
에픽 소울 결정,2026-05-30 13:21:06,999000,1,2026-05-30 13:26:11
에픽 소울 결정,2026-05-30 13:20:57,989999,2,2026-05-30 13:26:11
